Iteration,Discriminator Loss,Generator Loss
0,0.755773,0.699524
10,0.589473,0.810772
20,0.258389,1.551285
30,0.111347,2.964469
40,0.278575,3.244637
50,0.492789,2.336348
60,0.835135,0.911571
70,1.307365,0.328716
80,0.723829,1.641353
90,0.972083,1.640171
100,1.268686,3.221635
110,1.045661,1.341073
120,4.877847,0.000084
130,2.022626,0.000235
140,9.440458,0.046429
150,2.196963,3.379170
160,2.365797,2.895719
170,8.100364,0.147910
180,8.547125,0.174097
190,7.818839,0.190464
200,6.028334,2.311007
210,6.938992,0.690088
220,5.451881,1.179152
230,1.505487,2.021708
240,2.394520,0.019026
250,2.162308,1.434477
260,1.829179,1.172291
270,1.424881,0.910108
280,1.388806,0.747063
290,1.391007,0.754543
300,1.376276,0.744849
310,1.378543,0.751456
320,1.368052,0.691212
330,1.377047,0.646894
340,1.341995,0.716562
350,1.381399,0.673195
360,1.371588,0.870708
370,1.330618,0.825742
380,1.309879,0.896613
390,1.291020,0.846326
400,1.321354,0.735686
410,1.332804,0.617512
420,1.342833,0.609431
430,1.370597,0.700445
440,1.388298,0.724155
450,1.386702,0.694151
460,1.377396,0.772152
470,1.373394,0.685538
480,1.383986,0.722370
490,1.380490,0.655077
500,1.384066,0.642054
510,1.383636,0.693419
520,1.384135,0.661861
530,1.383659,0.656803
540,1.384795,0.670618
550,1.383515,0.659214
560,1.381649,0.693965
570,1.385226,0.811901
580,1.377931,0.715856
590,1.381043,0.660773
600,1.376505,0.698017
610,1.383706,0.682721
620,1.374973,0.676797
630,1.383647,0.668457
640,1.392406,0.724084
650,1.382512,0.683767
660,1.383456,0.688847
670,1.384235,0.675423
680,1.363387,0.698390
690,1.385118,0.720491
700,1.376949,0.680405
710,1.379655,0.702404
720,1.361742,0.672495
730,1.381731,0.689849
740,1.366316,0.688165
750,1.382448,0.697645
760,1.381802,0.703134
770,1.370559,0.670068
780,1.374181,0.738252
790,1.391273,0.834638
800,1.371573,0.793525
810,1.352517,0.782409
820,1.363849,0.777770
830,1.388155,0.850121
840,1.365056,0.605209
850,1.367717,0.655972
860,1.373277,0.714538
870,1.372278,0.741894
880,1.384157,0.634522
890,1.377708,0.641468
900,1.384083,0.623090
910,1.379286,0.648387
920,1.356091,0.682105
930,1.349931,0.729365
940,1.355690,0.635753
950,1.350113,0.631393
960,1.339423,0.589890
970,1.362363,0.982771
980,1.345451,0.902097
990,1.321244,0.839924
1000,1.337770,0.769446
1010,1.308614,0.857224
1020,1.301647,0.891235
1030,1.322651,0.891415
1040,1.305844,0.905621
1050,1.305304,0.957655
1060,1.301309,0.977310
1070,1.299720,0.920298
1080,1.292168,0.941661
1090,1.314453,0.941428
1100,1.324684,0.943497
1110,1.318967,0.928366
1120,1.325148,0.939649
1130,1.279821,0.936616
1140,1.304514,0.919080
1150,1.277720,0.940933
1160,1.339693,0.888863
1170,1.296087,0.926808
1180,1.308804,0.934847
1190,1.303536,0.947784
1200,1.260865,0.999236
1210,1.270333,1.012662
1220,1.272503,0.948699
1230,1.259185,0.991840
1240,1.310025,0.984708
1250,1.276235,0.956551
1260,1.245943,0.946794
1270,1.299231,1.004551
1280,1.266704,0.999608
1290,1.285251,0.965820
1300,1.291022,0.923263
1310,1.292418,0.957246
